Player Name,Team,Position,Age,Height,Setting Errors,Sets Per Match,Successful Receives,Receiving Errors,Receives Per Match,Aces,Service Errors,Service Attempts,Serves Per Match,Blocks,Blocking Errors,Blocks Per Match,Defensive Errors,Defensive Receptions,Digs Per Match,Kills,Attacking Errors,Attacking Attempts,Attacks Per Match
Lipke,NED,LIBERO,22,180cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0,0.0
Lopez,CUB,OUTSIDE HITTER,28,189cm,0,0.38,48,12,3.69,6,29,97,0.46,7,16,0.54,18,25,3.23,97,32,65,7.46
Loser Bruno,ARG,MIDDLE BLOCKER,27,198cm,0,0.0,1,1,0.08,5,34,150,0.42,34,54,2.83,13,23,1.92,74,10,49,6.17
Louati,FRA,OUTSIDE HITTER,33,198cm,0,0.11,39,7,4.33,8,22,59,0.89,2,15,0.22,13,10,1.78,52,19,37,5.78
Luburić,SRB,OPPOSITE SPIKER,31,202cm,0,0.08,0,2,0.0,10,36,91,0.83,6,12,0.5,15,19,2.33,136,59,114,11.33
Lucarelli,BRA,OUTSIDE HITTER,33,196cm,0,0.14,18,3,2.57,2,7,35,0.29,2,9,0.29,6,18,1.86,24,9,28,3.43
Luengas,ARG,OUTSIDE HITTER,29,197cm,0,0.08,8,3,0.67,4,10,23,0.33,3,7,0.25,7,7,1.25,27,11,18,2.25
Lui,CAN,LIBERO,25,177cm,0,0.08,5,0,0.42,0,0,0,0.0,0,0,0.0,24,3,1.25,0,0,0,0.0
M. Lagumdzija,TUR,OUTSIDE HITTER,24,207cm,0,0.17,10,10,0.83,4,14,66,0.33,7,22,0.58,10,10,2.17,60,28,52,5.0
Ma'a,USA,SETTER,28,192cm,1,20.62,0,0,0.0,4,14,77,0.5,5,10,0.62,17,29,2.88,7,2,8,0.88
Maase,GER,MIDDLE BLOCKER,27,208cm,0,0.12,3,3,0.38,0,13,97,0.0,11,28,1.38,7,9,1.75,60,7,28,7.5
Maciel,ARG,MIDDLE BLOCKER,23,205cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Magnin,FRA,MIDDLE BLOCKER,21,200cm,0,0.0,0,0,0.0,2,4,10,0.25,2,1,0.25,1,2,0.62,4,0,4,0.5
Maicon,BRA,OUTSIDE HITTER,21,215cm,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,1,0.0
Maique,BRA,LIBERO,28,187cm,0,0.27,88,17,5.87,0,0,0,0.0,0,0,0.0,60,70,7.93,0,0,0,0.0
Mandıracı,TUR,OUTSIDE HITTER,23,206cm,1,0.08,33,12,2.75,26,28,110,2.17,12,29,1.0,28,36,3.33,149,41,124,12.42
Marovt,SLO,OUTSIDE HITTER,20,192cm,1,0.07,4,3,0.29,1,6,12,0.07,0,4,0.0,0,4,0.21,12,11,17,0.86
Marshman,USA,MIDDLE BLOCKER,31,201cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Martinez Franchi,ARG,LIBERO,27,190cm,1,0.0,31,10,3.88,0,0,0,0.0,0,0,0.0,22,25,8.62,0,0,0,0.0
Martinez Gion,NED,OUTSIDE HITTER,35,197cm,0,0.12,12,2,1.5,0,3,19,0.0,3,7,0.38,7,4,0.88,16,8,16,2.0
Masso,CUB,OPPOSITE SPIKER,27,204cm,0,0.38,2,0,0.15,12,64,105,0.92,28,46,2.15,24,25,4.08,148,53,117,11.38
Matheus,BRA,MIDDLE BLOCKER,29,207cm,0,0.0,0,0,0.0,6,16,47,0.5,8,14,0.67,2,5,0.33,17,5,14,1.42
Matheus G.,BRA,SETTER,28,185cm,0,3.0,0,0,0.0,0,4,8,0.0,3,4,0.2,8,8,0.67,0,0,0,0.0
Matin,IRI,MIDDLE BLOCKER,24,201cm,0,0.0,0,0,0.0,0,6,9,0.0,0,14,0.0,0,0,0.4,9,3,3,1.8
Matić,TUR,MIDDLE BLOCKER,30,211cm,0,0.0,1,0,0.09,3,10,65,0.27,15,29,1.36,3,11,0.91,28,7,20,2.55
Mašulović N.,SRB,MIDDLE BLOCKER,29,205cm,1,0.5,1,1,0.08,0,12,78,0.0,20,33,1.67,4,14,1.0,47,8,24,3.92
Mašulović V.,SRB,OUTSIDE HITTER,22,198cm,0,0.0,45,20,5.0,3,24,70,0.33,7,22,0.78,18,12,2.56,79,29,64,8.78
McCarthy,CAN,MIDDLE BLOCKER,25,200cm,0,0.36,7,0,0.64,10,50,112,0.91,26,42,2.36,10,13,1.73,62,15,30,5.64
McHenry,USA,MIDDLE BLOCKER,24,200cm,1,0.0,0,1,0.0,3,7,61,0.3,17,21,1.7,7,15,1.9,34,1,22,3.4
Meier,GER,OUTSIDE HITTER,23,205cm,0,0.0,0,0,0.0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0
Meijs,NED,OPPOSITE SPIKER,23,202cm,0,0.08,0,0,0.0,4,19,30,0.33,3,5,0.25,9,6,0.67,39,18,32,3.25
Mergarejo,CUB,OUTSIDE HITTER,27,196cm,2,0.08,3,4,0.23,4,6,79,0.31,2,3,0.15,4,3,1.0,13,6,11,1.0
Miao R.T.,CHN,MIDDLE BLOCKER,30,205cm,0,0.0,0,0,0.0,1,0,15,0.17,2,9,0.33,0,2,0.0,6,2,6,1.0
Michieletto,ITA,OUTSIDE HITTER,23,211cm,0,0.55,46,6,4.18,25,35,121,2.27,15,15,1.36,30,26,3.82,127,29,106,11.55
Milanović,SRB,SETTER,20,194cm,0,0.25,0,0,0.0,0,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Miwa,JPN,MIDDLE BLOCKER,25,192cm,0,0.0,0,2,0.0,0,1,19,0.0,1,7,0.25,3,4,0.75,7,1,7,1.75
Miyaura,JPN,OPPOSITE SPIKER,26,190cm,2,0.08,0,1,0.0,19,43,104,1.46,5,24,0.38,19,28,3.08,177,51,112,13.62
Mohammad,IRI,MIDDLE BLOCKER,24,204cm,0,0.09,3,2,0.27,4,7,138,0.36,14,43,1.27,8,10,1.82,59,13,25,5.36
Mohwinkel,GER,LIBERO,22,196cm,0,0.25,39,4,3.25,2,18,49,0.17,4,9,0.33,15,18,2.58,54,22,44,4.5
Morteza,IRI,OUTSIDE HITTER,26,193cm,0,0.2,61,11,6.1,18,33,85,1.8,7,19,0.7,14,16,3.3,98,31,68,9.8
Možič,SLO,OUTSIDE HITTER,23,200cm,1,0.2,68,19,4.53,11,49,110,0.73,20,33,1.33,16,49,3.67,167,56,150,11.13
Muhammed K.,TUR,SETTER,30,201cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Mujanović,SLO,OPPOSITE SPIKER,20,206cm,0,0.0,0,1,0.0,8,25,47,0.53,8,23,0.53,10,10,1.8,110,35,83,7.33
Murayama,JPN,MIDDLE BLOCKER,27,192cm,0,0.0,0,0,0.0,3,5,27,0.38,5,10,0.62,1,1,0.5,12,2,6,1.5
Nachev,BUL,MIDDLE BLOCKER,21,206cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Najdič,SLO,SETTER,19,193cm,2,10.13,0,0,0.0,2,19,51,0.13,2,11,0.13,8,20,1.2,1,0,1,0.07
Nalozhnyi,UKR,OUTSIDE HITTER,29,196cm,0,0.0,0,1,0.0,0,2,14,0.0,0,0,0.0,2,1,0.0,0,0,0,0.0
Nasevich,POL,OPPOSITE SPIKER,22,200cm,0,0.0,1,0,0.25,2,8,7,0.5,1,4,0.25,3,1,1.5,9,4,10,2.25
Nedeljković,SRB,MIDDLE BLOCKER,27,205cm,0,0.17,6,0,0.5,2,17,91,0.17,35,66,2.92,7,17,1.5,67,11,22,5.58
Negic,SRB,LIBERO,25,180cm,0,0.0,1,0,0.08,0,0,0,0.0,0,0,0.0,6,6,1.08,0,0,0,0.0
Nikolić,SRB,OPPOSITE SPIKER,24,206cm,0,0.08,0,0,0.0,2,16,32,0.17,1,4,0.08,11,12,0.33,25,8,25,2.08
Nishimoto,JPN,MIDDLE BLOCKER,26,188cm,0,0.0,1,0,0.11,1,3,43,0.11,4,17,0.44,1,3,0.44,20,2,7,2.22
Nishiyama,JPN,OPPOSITE SPIKER,22,193cm,0,0.22,1,0,0.11,2,7,13,0.22,1,7,0.11,3,5,0.22,22,7,17,2.44
Nowak J.,POL,MIDDLE BLOCKER,20,205cm,0,0.14,2,1,0.14,2,23,109,0.14,25,33,1.79,12,6,0.86,55,10,21,3.93
Ogawa,JPN,LIBERO,29,176cm,1,0.15,60,8,4.62,0,0,0,0.0,0,0,0.0,29,72,6.46,0,0,0,0.0
Okroglič,SLO,LIBERO,21,185cm,1,0.13,12,12,0.8,0,0,0,0.0,0,0,0.0,22,26,1.87,0,0,0,0.0
Onodera,JPN,MIDDLE BLOCKER,29,200cm,1,0.0,0,0,0.0,0,6,32,0.0,4,14,1.0,2,8,1.0,17,0,7,4.25
Otsuka,JPN,OUTSIDE HITTER,24,195cm,1,0.0,26,3,3.25,2,9,59,0.25,2,6,0.25,11,12,1.88,72,16,51,9.0
Oya,JPN,SETTER,30,178cm,5,15.62,0,0,0.0,1,7,79,0.08,0,7,0.0,24,23,2.08,2,0,4,0.15
Pace,ITA,LIBERO,25,180cm,1,0.0,14,2,1.27,0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0.0
Pajenk,SLO,MIDDLE BLOCKER,39,203cm,0,0.0,0,0,0.0,0,3,7,0.0,0,5,0.0,0,2,2.0,4,1,2,4.0
Palev,BUL,SETTER,22,188cm,1,8.83,0,0,0.0,1,8,66,0.08,2,6,0.17,8,6,0.92,1,0,1,0.08
Palonsky,ARG,OUTSIDE HITTER,26,198cm,0,0.42,59,16,4.92,11,51,130,0.92,10,39,0.83,24,38,4.67,159,24,166,13.25
Pampushko,UKR,LIBERO,23,180cm,0,0.12,2,0,0.25,0,0,0,0.0,0,0,0.0,1,0,1.38,0,0,0,0.0
Parkinson,NED,MIDDLE BLOCKER,33,203cm,0,0.0,1,0,0.5,0,0,9,0.0,3,2,1.5,1,1,1.5,3,2,7,1.5
Pasteur,USA,OUTSIDE HITTER,23,193cm,0,0.25,2,6,0.5,1,5,18,0.25,0,2,0.0,4,3,0.5,22,7,8,5.5
Patry,FRA,OPPOSITE SPIKER,28,207cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Peng S.K.,CHN,MIDDLE BLOCKER,25,208cm,0,0.0,1,1,0.12,1,4,46,0.12,10,20,1.25,5,11,0.5,16,4,18,2.0
Perić,SRB,OUTSIDE HITTER,27,207cm,0,0.0,9,4,1.12,1,1,24,0.12,3,10,0.38,3,5,0.75,19,5,16,2.38
Peter,GER,OUTSIDE HITTER,28,197cm,0,0.08,10,3,0.83,3,17,33,0.25,1,7,0.08,5,5,0.83,17,7,22,1.42
Petkov,BUL,MIDDLE BLOCKER,28,200cm,1,0.0,0,0,0.0,1,4,48,0.08,11,19,0.92,1,6,0.42,10,1,10,0.83
Petkov,BUL,MIDDLE BLOCKER,28,200cm,1,0.0,0,0,0.0,1,4,48,0.08,11,19,0.92,1,6,0.42,10,1,10,0.83
Petkov,BUL,MIDDLE BLOCKER,21,207cm,1,0.0,0,0,0.0,1,4,48,0.08,11,19,0.92,1,6,0.42,10,1,10,0.83
Petkov,BUL,MIDDLE BLOCKER,21,207cm,1,0.0,0,0,0.0,1,4,48,0.08,11,19,0.92,1,6,0.42,10,1,10,0.83
Plak,NED,MIDDLE BLOCKER,28,198cm,0,0.0,2,0,0.25,5,15,33,0.62,5,20,0.62,6,8,0.25,20,4,5,2.5
Planinšič,SLO,SETTER,27,186cm,1,21.0,0,1,0.0,4,9,112,0.33,8,12,0.67,31,47,1.17,2,1,2,0.17
Poluian,UKR,OUTSIDE HITTER,27,198cm,1,0.0,9,7,0.75,1,12,34,0.08,4,4,0.33,5,12,1.0,41,16,38,3.42
Popiwczak,POL,LIBERO,29,180cm,0,0.14,13,12,1.86,0,0,0,0.0,0,0,0.0,14,26,6.57,0,0,0,0.0
Poriya,IRI,OUTSIDE HITTER,21,198cm,0,0.0,36,4,3.27,15,36,77,1.36,5,17,0.45,15,18,2.55,85,38,59,7.73
Porro L.,ITA,OUTSIDE HITTER,21,193cm,0,0.13,29,8,1.93,7,27,54,0.47,13,16,0.87,20,27,2.13,69,13,44,4.6
Poręba,POL,MIDDLE BLOCKER,26,205cm,1,0.0,0,1,0.0,2,8,60,0.17,15,28,1.25,10,2,0.83,38,5,10,3.17
Pothron,FRA,OUTSIDE HITTER,23,198cm,1,0.17,49,11,4.08,2,17,46,0.17,2,12,0.17,7,9,3.08,59,14,50,4.92
Qu Z.S.,CHN,LIBERO,26,186cm,2,0.31,71,16,5.46,0,0,0,0.0,0,0,0.0,54,49,5.31,0,0,0,0.0
Ramon,FRA,LIBERO,25,186cm,0,0.0,6,0,0.75,0,0,8,0.0,0,0,0.0,3,6,2.62,0,0,0,0.0
Ran,JPN,OUTSIDE HITTER,24,188cm,0,0.4,22,3,4.4,1,12,41,0.2,4,4,0.8,9,16,4.0,56,25,39,11.2
Rao S.H.,CHN,MIDDLE BLOCKER,28,205cm,1,0.08,0,1,0.0,1,3,49,0.08,8,17,0.62,6,7,0.69,14,0,9,1.08
Recine,ITA,OUTSIDE HITTER,26,186cm,0,0.0,0,0,0.0,0,0,1,0.0,1,0,0.25,0,0,0.0,0,1,2,0.0
Ristić,SRB,LIBERO,21,190cm,1,0.25,43,14,3.58,0,0,0,0.0,0,0,0.0,47,35,4.83,0,0,0,0.0
Robinson,USA,OUTSIDE HITTER,23,202cm,0,0.25,49,14,4.08,10,44,70,0.83,9,19,0.75,23,24,1.92,114,48,88,9.5
Romanò,ITA,OPPOSITE SPIKER,28,201cm,0,0.09,0,0,0.0,11,21,65,1.0,6,16,0.55,13,15,1.55,83,28,56,7.55
Rowan,USA,SETTER,22,201cm,0,10.0,0,0,0.0,0,11,28,0.0,5,7,0.62,6,4,1.38,0,1,4,0.0
Rychlicki,ITA,OPPOSITE SPIKER,28,204cm,1,0.0,1,0,0.07,17,31,83,1.13,8,26,0.53,15,19,2.93,108,37,107,7.2
Röhrs,GER,OUTSIDE HITTER,24,201cm,0,0.33,51,19,4.25,10,52,123,0.83,12,41,1.0,18,35,5.58,154,54,149,12.83
S. Nikolov,BUL,SETTER,18,209cm,1,18.09,0,0,0.0,14,36,75,1.27,11,20,1.0,13,34,2.82,25,7,27,2.27
Saadat,IRI,OPPOSITE SPIKER,23,205cm,0,0.0,0,3,0.0,5,14,42,0.42,10,15,0.83,7,9,0.92,62,18,31,5.17
Sabino,BRA,OPPOSITE SPIKER,23,201cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0,0,2.0
Salazar,ARG,MIDDLE BLOCKER,21,202cm,0,0.0,0,0,0.0,0,3,14,0.0,1,7,0.5,2,1,0.5,3,2,2,1.5
Sanchez Pages,ARG,SETTER,28,175cm,5,28.83,0,0,0.0,4,17,133,0.33,1,15,0.08,24,28,3.67,3,0,6,0.25
Sanguinetti,ITA,MIDDLE BLOCKER,25,203cm,0,0.0,0,0,0.0,1,6,7,0.09,1,9,0.09,1,1,0.18,5,0,5,0.45
Sani,ITA,OUTSIDE HITTER,23,203cm,0,0.0,6,9,1.5,1,7,18,0.25,3,4,0.75,5,3,3.5,27,7,24,6.75
Sasak,POL,OPPOSITE SPIKER,28,208cm,0,0.33,0,0,0.0,15,49,149,1.0,16,41,1.07,32,30,2.67,141,35,130,9.4
Sato,JPN,MIDDLE BLOCKER,25,204cm,0,0.15,2,0,0.15,5,10,85,0.38,12,29,0.92,5,17,0.62,40,5,27,3.08
Savaş,TUR,MIDDLE BLOCKER,30,205cm,0,0.0,2,0,0.17,0,7,33,0.0,10,20,0.83,0,1,1.08,23,3,20,1.92
Sbertoli,ITA,SETTER,27,188cm,0,10.0,0,0,0.0,1,3,39,0.09,2,15,0.18,14,9,1.0,0,0,1,0.0
Scarpa,ARG,LIBERO,23,186cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Schnitzer,CAN,MIDDLE BLOCKER,26,198cm,0,0.0,1,1,0.1,1,15,35,0.1,4,11,0.4,2,2,0.5,16,5,12,1.6
Sclater,CAN,OPPOSITE SPIKER,31,200cm,0,0.0,1,0,0.12,3,12,56,0.38,6,15,0.75,8,5,2.25,42,16,35,5.25
Semeniuk,POL,OUTSIDE HITTER,29,195cm,0,0.18,37,7,3.36,9,19,83,0.82,4,15,0.36,18,24,2.91,93,20,77,8.45
Semeniuk,UKR,MIDDLE BLOCKER,31,210cm,0,0.17,4,2,0.33,8,20,162,0.67,37,55,3.08,7,32,1.58,97,16,55,8.08
Shchytkov,UKR,SETTER,33,186cm,3,19.92,0,0,0.0,4,21,76,0.33,4,25,0.33,16,17,2.17,6,2,4,0.5
Shimokawa,JPN,SETTER,25,178cm,0,8.5,0,0,0.0,0,0,7,0.0,0,1,0.0,0,1,1.0,0,0,0,0.0
Shoji,USA,LIBERO,36,184cm,0,0.0,16,3,2.29,0,0,0,0.0,0,0,0.0,16,16,3.0,0,0,0,0.0
Simón,CUB,MIDDLE BLOCKER,38,208cm,1,0.0,3,0,0.6,5,14,60,1.0,13,18,2.6,4,8,2.6,33,3,12,6.6
Soshi,JPN,LIBERO,25,178cm,0,0.0,5,1,0.62,0,0,0,0.0,0,0,0.0,4,2,1.12,0,0,0,0.0
Stefanović,SRB,MIDDLE BLOCKER,26,200cm,0,0.0,2,0,0.25,0,1,13,0.0,3,6,0.38,2,5,0.5,9,1,5,1.12
Strehlau,FRA,OUTSIDE HITTER,21,199cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,0,0.25
Synytsia,UKR,SETTER,32,194cm,3,12.38,0,0,0.0,2,7,41,0.25,4,11,0.5,4,8,1.25,3,1,2,0.38
Szalpuk,POL,OUTSIDE HITTER,30,201cm,1,0.14,46,17,3.29,4,24,84,0.29,13,19,0.93,24,20,2.57,94,27,88,6.71
Szymura,POL,OUTSIDE HITTER,30,196cm,0,0.0,22,4,5.5,2,7,31,0.5,4,5,1.0,6,7,2.0,25,9,23,6.25
T. Štern,SLO,OPPOSITE SPIKER,29,200cm,0,0.07,2,1,0.13,9,40,109,0.6,8,24,0.53,31,34,2.47,137,58,116,9.13
Tatarov,BUL,OUTSIDE HITTER,22,198cm,0,0.0,8,5,0.67,3,6,39,0.25,8,23,0.67,5,10,1.33,24,16,22,2.0
Telkiyski,BUL,SETTER,24,197cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Tevkun,UKR,OPPOSITE SPIKER,37,205cm,0,0.0,0,0,0.0,0,0,1,0.0,0,1,0.0,1,2,0.0,1,1,3,0.12
Thiago,CUB,MIDDLE BLOCKER,21,194cm,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0.12,0,0,0.0,1,0,0,0.12
Thiery,BRA,MIDDLE BLOCKER,22,204cm,0,0.0,0,0,0.0,2,0,16,0.22,4,3,0.44,1,1,0.0,3,2,8,0.33
Thondike,CUB,SETTER,24,190cm,3,9.38,0,0,0.0,2,13,41,0.15,7,9,0.54,12,13,1.08,4,3,7,0.31
Tille,GER,SETTER,28,186cm,1,14.67,0,0,0.0,1,10,38,0.17,0,4,0.0,7,14,2.5,1,0,1,0.17
Tizi-Oualou,FRA,SETTER,19,197cm,3,22.22,0,0,0.0,5,24,53,0.56,7,20,0.78,11,17,1.78,17,3,5,1.89
Todorović,SRB,SETTER,27,190cm,1,15.58,0,3,0.0,2,9,79,0.17,3,17,0.25,20,26,2.58,7,0,2,0.58
Todua,UKR,MIDDLE BLOCKER,33,208cm,0,0.17,2,2,0.17,2,26,61,0.17,19,44,1.58,6,13,1.58,23,5,25,1.92
Tomita,JPN,OUTSIDE HITTER,28,190cm,1,0.0,50,7,3.85,6,23,77,0.46,1,17,0.08,8,30,2.31,56,17,48,4.31
Toniutti,FRA,SETTER,35,183cm,0,3.2,0,0,0.0,0,0,1,0.0,0,0,0.0,2,1,0.2,0,0,0,0.0
Torwie,GER,MIDDLE BLOCKER,23,203cm,0,0.08,2,2,0.17,7,41,107,0.58,26,44,2.17,11,27,1.5,40,11,24,3.33
Tuinstra,NED,OUTSIDE HITTER,25,200cm,0,0.25,53,11,4.42,8,27,99,0.67,3,13,0.25,24,21,2.08,93,48,91,7.75
Tupchii,UKR,OPPOSITE SPIKER,33,194cm,0,0.17,0,0,0.0,12,37,151,1.0,16,30,1.33,17,47,3.5,157,46,113,13.08
Tümer,TUR,MIDDLE BLOCKER,24,204cm,0,0.0,1,0,0.09,0,6,6,0.0,0,4,0.0,0,0,0.0,3,0,0,0.27
Urnaut,SLO,OUTSIDE HITTER,37,200cm,0,0.0,4,2,1.0,2,3,27,0.5,3,2,0.75,6,8,2.0,23,12,17,5.75
Uryvkin,UKR,OPPOSITE SPIKER,24,197cm,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0.0,0,0,0.25,2,0,3,0.5
Van Der Ent,NED,MIDDLE BLOCKER,27,208cm,0,0.0,3,0,0.25,4,23,100,0.33,21,34,1.75,6,9,1.17,58,12,34,4.83
Varga,CAN,OUTSIDE HITTER,22,200cm,0,0.1,26,8,2.6,6,21,42,0.6,7,14,0.7,18,14,2.1,62,22,59,6.2
Vicentin,ARG,OUTSIDE HITTER,25,197cm,0,0.0,52,12,4.33,6,22,62,0.5,10,17,0.83,17,29,3.08,68,40,61,5.67
Vinčić,SLO,SETTER,39,200cm,2,4.75,0,0,0.0,0,0,8,0.0,0,4,0.0,3,5,0.75,0,0,0,0.0
Wang B.,CHN,OUTSIDE HITTER,24,195cm,1,0.0,20,9,1.54,6,24,65,0.46,4,11,0.31,25,19,1.46,65,27,70,5.0
Wang H.B.,CHN,SETTER,26,188cm,3,9.0,0,0,0.0,3,1,98,0.23,0,6,0.0,17,16,1.23,1,0,1,0.08
Wassenaar Ketrzynski,CAN,OPPOSITE SPIKER,25,208cm,1,0.0,2,1,0.17,9,23,76,0.75,8,15,0.67,22,20,2.25,109,28,83,9.08
Wen Z. H.,CHN,OPPOSITE SPIKER,25,201cm,0,0.0,0,0,0.0,6,15,57,0.46,8,19,0.62,18,15,1.31,88,37,78,6.77
Wijkstra,NED,OUTSIDE HITTER,23,205cm,0,0.0,0,0,0.0,0,1,0,0.0,1,2,0.12,0,0,0.0,1,1,2,0.12
Wiltenburg,NED,MIDDLE BLOCKER,28,205cm,0,0.08,2,1,0.17,2,10,60,0.17,21,24,1.75,3,7,0.33,17,3,15,1.42
Yamamoto,JPN,LIBERO,30,171cm,0,0.0,4,0,0.8,0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0.0
Yamauchi,JPN,MIDDLE BLOCKER,31,204cm,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Yamazaki,JPN,OUTSIDE HITTER,27,190cm,0,0.0,12,2,1.33,4,13,24,0.44,1,5,0.11,3,7,0.89,25,10,33,2.78
Yanchuk,UKR,OUTSIDE HITTER,26,197cm,0,0.17,30,21,2.5,18,39,121,1.5,7,28,0.58,14,24,3.58,165,51,133,13.75
Yant,CUB,OUTSIDE HITTER,24,204cm,1,0.31,58,11,4.46,16,40,165,1.23,23,40,1.77,18,39,5.54,219,76,152,16.85
Yenipazar,TUR,SETTER,32,194cm,0,24.17,0,1,0.0,4,25,131,0.33,11,23,0.92,28,24,4.17,4,2,13,0.33
Yevstratov,UKR,SETTER,32,190cm,0,7.5,0,0,0.0,1,0,20,0.25,2,2,0.5,4,4,1.25,0,0,3,0.0
Young,CAN,OUTSIDE HITTER,24,195cm,1,0.08,19,8,1.58,5,15,37,0.42,5,14,0.42,8,13,1.92,41,15,39,3.42
Yousef,IRI,MIDDLE BLOCKER,22,207cm,1,0.0,1,0,0.09,1,6,24,0.09,6,15,0.55,2,1,0.36,12,4,12,1.09
Yu Y.C.,CHN,SETTER,30,195cm,3,18.0,0,0,0.0,1,5,68,0.08,8,14,0.62,18,39,2.69,4,2,6,0.31
Yu Y.T.,CHN,OUTSIDE HITTER,27,186cm,3,0.17,35,14,2.92,4,24,89,0.33,2,24,0.17,15,29,3.17,80,33,87,6.67
Yüksel,TUR,OUTSIDE HITTER,21,204cm,0,0.09,2,3,0.18,0,5,19,0.0,0,10,0.0,1,2,0.36,11,11,21,1.0
Z. Štern,SLO,OUTSIDE HITTER,31,193cm,1,0.55,23,15,2.09,9,19,92,0.82,2,22,0.18,19,25,3.09,70,23,73,6.36
Zaleszczyk,POL,MIDDLE BLOCKER,23,205cm,0,0.0,0,0,0.0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0
Zerba,ARG,MIDDLE BLOCKER,26,203cm,0,0.0,4,0,0.33,7,14,82,0.58,11,22,0.92,4,10,1.0,35,4,24,2.92
Zhai D.J.,CHN,OUTSIDE HITTER,25,195cm,0,0.0,8,11,0.62,0,12,25,0.0,2,3,0.15,9,9,0.85,22,7,27,1.69
Zhang Z.J.,CHN,MIDDLE BLOCKER,30,207cm,0,0.08,0,0,0.0,1,5,31,0.08,7,19,0.54,1,7,0.46,25,3,11,1.92
Zhelev,BUL,OUTSIDE HITTER,23,197cm,0,0.0,2,0,0.17,0,0,1,0.0,0,0,0.0,16,8,1.67,0,0,0,0.0
Zimmermann,GER,SETTER,32,190cm,0,19.17,0,1,0.0,2,11,123,0.17,7,13,0.58,35,26,3.92,5,0,4,0.42
de Groot,NED,OUTSIDE HITTER,20,190cm,0,0.0,1,0,0.25,0,3,2,0.0,0,0,0.0,0,2,0.0,1,1,1,0.25
Śliwka,POL,OUTSIDE HITTER,30,196cm,0,0.0,8,4,2.0,1,3,15,0.25,1,3,0.25,4,8,1.25,16,6,13,4.0
Šen,SLO,OUTSIDE HITTER,23,192cm,0,0.0,3,3,0.3,0,3,6,0.0,0,1,0.0,0,3,0.1,2,1,8,0.2
Štalekar,SLO,MIDDLE BLOCKER,29,214cm,0,0.0,1,0,0.07,5,8,129,0.33,14,40,0.93,11,12,1.0,49,9,32,3.27
